Table Name: vehicleObservation$RecordAll$domain0, Topic Name: vehicleObservation
Timestamp,vehicle_id,header.create_stamp.nanoseconds,header.valid_after_stamp.nanoseconds,pose.x,pose.y,pose.yaw
1551295598827969998,3,1551295598800000000,1551295598800000000,2.2683629175,3.3747675936,-2.4433471233
1551295598847590998,3,1551295598820000000,1551295598820000000,2.2852743962,3.3885853748,-2.4278292227
1551295598874778998,3,1551295598840000000,1551295598840000000,2.2988306189,3.4011193968,-2.4368258237
1551295598888200998,3,1551295598860000000,1551295598860000000,2.3133468813,3.4125319099,-2.4278163465
1551295598907848998,3,1551295598880000000,1551295598880000000,2.3275092807,3.4264560768,-2.4442949052
1551295598927165998,3,1551295598900000000,1551295598900000000,2.3421151568,3.4397579976,-2.4348422150
1551295598954802998,3,1551295598920000000,1551295598920000000,2.3565160314,3.4492887057,-2.4265532860
1551295598967992998,3,1551295598940000000,1551295598940000000,2.3701794993,3.4636888355,-2.4347500480
1551295598987515998,3,1551295598960000000,1551295598960000000,2.3826431230,3.4752984151,-2.4277900981
1551295599006756000,3,1551295598980000000,1551295598980000000,2.3960648433,3.4858819128,-2.4203712084
1551295599032597000,3,1551295599000000000,1551295599000000000,2.4096501613,3.4982904379,-2.4113296260
1551295599046275000,3,1551295599020000000,1551295599020000000,2.4231489019,3.5108008588,-2.4039189065
1551295599066199000,3,1551295599040000000,1551295599040000000,2.4342624629,3.5219228892,-2.4203883883
1551295599085550000,3,1551295599060000000,1551295599060000000,2.4482829040,3.5318392927,-2.4020356276
1551295599118017000,3,1551295599080000000,1551295599080000000,2.4598569225,3.5444380877,-2.4113052591
1551295599124744000,3,1551295599100000000,1551295599100000000,2.4703026305,3.5532144658,-2.4038944941
1551295599150305000,3,1551295599120000000,1551295599120000000,2.4800084814,3.5618080585,-2.4092754030
1551295599166099000,3,1551295599140000000,1551295599140000000,2.4869092052,3.5683813968,-2.3946904826
1551295599194547000,3,1551295599160000000,1551295599160000000,2.4938982902,3.5738793696,-2.3946967595
1551295599204055000,3,1551295599180000000,1551295599180000000,2.4979126954,3.5775695952,-2.3946982364
1551295599223519000,3,1551295599200000000,1551295599200000000,2.4999198491,3.5794146631,-2.3946989748
1551295599243578000,3,1551295599220000000,1551295599220000000,2.5003752264,3.5799256073,-2.3872029336
1551295599267111000,3,1551295599240000000,1551295599240000000,2.5003752264,3.5799256073,-2.3872029336
1551295599286716000,3,1551295599260000000,1551295599260000000,2.4999198491,3.5794146631,-2.3946989748
1551295599303342000,3,1551295599280000000,1551295599280000000,2.4979388536,3.5785407870,-2.3948769106
1551295599322781000,3,1551295599280000000,1551295599280000000,2.4961152277,3.5754988257,-2.3909404956
1551295599349297999,3,1551295599300000000,1551295599300000000,2.4959055091,3.5757244974,-2.3946974979
1551295599364597000,3,1551295599320000000,1551295599320000000,2.4938982902,3.5738793696,-2.3946967595
1551295599382457999,3,1551295599340000000,1551295599340000000,2.4928724246,3.5729890908,-2.3785159084
1551295599401425999,3,1551295599360000000,1551295599360000000,2.4920999519,3.5718094046,-2.3909534271
1551295599428499999,3,1551295599380000000,1551295599380000000,2.4900922652,3.5699646492,-2.3909598930
1551295599441488999,3,1551295599400000000,1551295599400000000,2.4878742639,3.5683551587,-2.3781613254
1551295599464053999,3,1551295599420000000,1551295599420000000,2.4870807496,3.5671973792,-2.3909695920
1551295599480102999,3,1551295599440000000,1551295599440000000,2.4850729815,3.5653525490,-2.3909760582
1551295599505843999,3,1551295599460000000,1551295599460000000,2.4829112589,3.5626736419,-2.3930901864
1551295599522383999,3,1551295599480000000,1551295599480000000,2.4824137345,3.5632141390,-2.4020490063
1551295599540905999,3,1551295599500000000,1551295599500000000,2.4809772575,3.5627483548,-2.3930685968
1551295599561528999,3,1551295599520000000,1551295599520000000,2.4804062990,3.5613687992,-2.4020482194
1551295599585543999,3,1551295599540000000,1551295599540000000,2.4788323218,3.5600516159,-2.3948862864
1551295599598977999,3,1551295599560000000,1551295599560000000,2.4783988309,3.5595234294,-2.4020474324
1551295599618997999,3,1551295599580000000,1551295599580000000,2.4769623134,3.5590576513,-2.3930671415
1551295599638124999,3,1551295599600000000,1551295599600000000,2.4763913302,3.5576780297,-2.4020466454
1551295599660693999,3,1551295599620000000,1551295599620000000,2.4758704562,3.5562423883,-2.3768001158
1551295599677553999,3,1551295599640000000,1551295599640000000,2.4754512532,3.5566824865,-2.3842122944
1551295599697671999,3,1551295599660000000,1551295599660000000,2.4742547925,3.5559641966,-2.3876386215
1551295599720524999,3,1551295599680000000,1551295599680000000,2.4742547925,3.5559641966,-2.3876386215
1551295599740698999,3,1551295599700000000,1551295599700000000,2.4742547925,3.5559641966,-2.3876386215
1551295599757878999,3,1551295599720000000,1551295599720000000,2.4742547925,3.5559641966,-2.3876386215
1551295599776483999,3,1551295599740000000,1551295599740000000,2.4742547925,3.5559641966,-2.3876386215
1551295599796671999,3,1551295599760000000,1551295599760000000,2.4742547925,3.5559641966,-2.3876386215
1551295599823433998,3,1551295599780000000,1551295599780000000,2.4742547925,3.5559641966,-2.3876386215
1551295599836122998,3,1551295599800000000,1551295599800000000,2.4742547925,3.5559641966,-2.3876386215
1551295599854793998,3,1551295599820000000,1551295599820000000,2.4754512532,3.5566824865,-2.3842122944
1551295599881763998,3,1551295599840000000,1551295599840000000,2.4742547925,3.5559641966,-2.3876386215
1551295599897569998,3,1551295599860000000,1551295599860000000,2.4742547925,3.5559641966,-2.3876386215
1551295599916060998,3,1551295599880000000,1551295599880000000,2.4742547925,3.5559641966,-2.3876386215
1551295599933927998,3,1551295599900000000,1551295599900000000,2.4742547925,3.5559641966,-2.3876386215
1551295599959022998,3,1551295599920000000,1551295599920000000,2.4742547925,3.5559641966,-2.3876386215
1551295599982150998,3,1551295599940000000,1551295599940000000,2.4742547925,3.5559641966,-2.3876386215
1551295599994433998,3,1551295599960000000,1551295599960000000,2.4742547925,3.5559641966,-2.3876386215
1551295600013682000,3,1551295599980000000,1551295599980000000,2.4742547925,3.5559641966,-2.3876386215
1551295600033922000,3,1551295600000000000,1551295600000000000,2.4742547925,3.5559641966,-2.3876386215
